"ref_date","united states, business confidence","united states, composite pmi","united states, consumer confidence","united states, continuing jobless claims","united states, gdp growth rate","united states, industrial production mom","united states, initial jobless claims","united states, interbank rate","united states, manufacturing pmi","united states, mortgage applications","united states, mortgage spread 30y 15y","united states, non manufacturing pmi","united states, ny empire state manufacturing index","united states, philadelphia fed manufacturing index","united states, redbook index sa","united states, richmond fed manufacturing index","united states, services pmi","united states, t bill spread 10y 3m"
2010-11-05,52.722661634021,0.00916813084324153,75.2650347515623,-0.000586839959167303,1.51659033759703,0.0783318801711678,440.727586241222,-0.00773940378503641,48.299132820486,0.445091620406869,0.623682144266744,51.5324555034178,3.64939507161956,3.92073443313017,1.97758147901265,-1.34366996835484,0.0467471526036028,0.000261605408635704
2010-11-12,52.7262248609706,0.00916813084324153,75.2754135316628,-0.000591434456481786,1.51718943267809,0.0783717113809871,440.451639865045,-0.00771015403963184,48.299132820486,0.442958475914401,0.625555031958838,51.566026197513,3.6578687641802,3.93278925350239,1.9909879909301,-1.30614251813025,0.0467471526036028,0.000250631521389092
2010-11-19,52.7297998989079,0.00916813084324153,75.2860461866187,-0.000596040760164026,1.51780939064095,0.0784121917086232,440.164105730498,-0.00767883834709722,48.299132820486,0.440620579887915,0.627405340915584,51.6000595701703,3.66618712431361,3.94494846549918,2.00531035100047,-1.26799608924002,0.0467471526036028,0.000239581536475414
2010-11-26,52.7333863992204,0.00916813084324153,75.2969316284736,-0.000600658216795194,1.51845000561996,0.0784533110456043,439.865262066497,-0.00764550769220021,48.2994754604106,0.438051391148818,0.629231935369452,51.63451931268,3.67534330844484,3.95721108788393,2.02050666547702,-1.22925561351541,0.0467471526036028,0.00022845647146886
2010-12-03,52.7369840133911,0.00916813084324153,75.3080687693037,-0.000605286172956461,1.51911107174942,0.0784950592970655,439.555387101956,-0.00761021305970847,48.3006648532926,0.435224368518518,0.631033679552913,51.6693690977306,3.68626262556753,3.96957614035921,2.036535040613,-1.18994596718657,0.0467471526036028,0.000217257343943622
2010-12-10,52.7405923932855,0.00916813084324153,75.3194565213139,-0.000609923975228999,1.51979238316368,0.0785374264225718,439.234759065791,-0.00757300543438969,48.3027009991318,0.432112970818423,0.632809437698435,51.704572523602,3.69959899494953,3.98204264638439,2.05335358266165,-1.15009180407915,0.0467471526036028,0.000205985171473891
2010-12-17,52.7442111908642,0.00916813084324153,75.3310937967414,-0.000614570970193979,1.52049373399704,0.0785804023952954,438.903656186918,-0.00753393580101153,48.3055838979282,0.428690656869941,0.634558074038491,51.7400931699723,3.71593848842729,3.99460963035807,2.07092039787623,-1.10971772241765,0.0467471526036028,0.000194640971633855
2010-12-24,52.7478400580884,0.00916813084324153,75.3429795078233,-0.000619226504432572,1.52121491838383,0.0786239771884085,438.562356694251,-0.00749305514434166,48.3093135496819,0.424930885494478,0.63627845280555,51.7758946165196,3.73586717783725,4.00727611667881,2.08919359250999,-1.06884832042659,0.0467471526036028,0.000183225761997708
2010-12-31,52.7514786469188,0.00916813084324153,75.3551125667968,-0.00062388992452595,1.52195573045839,0.0786681407750835,438.211138816707,-0.00745041444914777,48.3138899543929,0.420807115513444,0.637969438232083,51.8119404429218,3.75997113501582,4.02004112974521,2.10813127281618,-1.02750819633047,0.0467471526036028,0.000171740560139638
2011-01-07,52.7551266092945,0.00916813084324153,75.3674918858916,-0.000628560577055283,1.52271590768467,0.0787128831253797,437.850280783201,-0.00740606470019751,48.3193131120612,0.416292805748245,0.639629894550559,51.8481942347587,3.7886709940646,4.032903693741,2.12769154504805,-0.98572196106619,0.0467471526036028,0.000160186383633836
2011-01-14,52.7587835970671,0.00916813084324153,75.3801163773081,-0.000633237808601744,1.52349496084527,0.0787581941969059,437.480060822647,-0.00736005688225855,48.3255830226867,0.41136141502029,0.64125868599345,51.8846196012165,3.82172563814576,4.04586283199054,2.14783251545884,-0.943514276420177,0.0467471526036028,0.000148564250054495
2011-01-21,52.7624492620664,0.00916813084324153,75.3929849532392,-0.000637920965746503,1.5242923440524,0.0788040639441577,437.100757163962,-0.00731244198009858,48.3326996862695,0.406534597292566,0.642854676793226,51.9211801573831,3.8587285126866,4.05891756760334,2.16851229030182,-0.900909816891238,0.0467471526036028,0.000136875176975802
2011-01-28,52.7661232561219,0.00916813084324153,75.4060965258779,-0.000642609395070731,1.52510751141828,0.0788504823216312,436.712648036061,-0.00726327097848527,48.3406631028095,0.402330449419665,0.644416731182356,51.9578395183466,3.89927306311446,4.0720669236889,2.18968897583023,-0.857933256978179,0.0467471526036028,0.000125120181971951
